,Area,Year,Item,Element Code,Unit,value
504784,South-eastern Asia,1972-01-01,Cabbages,5312,ha,51120.0
504787,South-eastern Asia,1972-01-01,Canary seed,5312,ha,2000.0
505039,South-eastern Asia,1973-01-01,"Abaca, manila hemp, raw",5312,ha,163600.0
505042,South-eastern Asia,1973-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2560.0
505045,South-eastern Asia,1973-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
505048,South-eastern Asia,1973-01-01,Areca nuts,5312,ha,108495.0
505052,South-eastern Asia,1973-01-01,Avocados,5312,ha,12530.0
505055,South-eastern Asia,1973-01-01,Bananas,5312,ha,857184.0
505058,South-eastern Asia,1973-01-01,"Beans, dry",5312,ha,1089280.0
505065,South-eastern Asia,1973-01-01,"Broad beans and horse beans, green",5312,ha,35.0
505070,South-eastern Asia,1973-01-01,Cabbages,5312,ha,46708.0
505073,South-eastern Asia,1973-01-01,Canary seed,5312,ha,2000.0
505325,South-eastern Asia,1974-01-01,"Abaca, manila hemp, raw",5312,ha,170260.0
505328,South-eastern Asia,1974-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2600.0
505331,South-eastern Asia,1974-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
505334,South-eastern Asia,1974-01-01,Areca nuts,5312,ha,108700.0
505338,South-eastern Asia,1974-01-01,Avocados,5312,ha,13100.0
505341,South-eastern Asia,1974-01-01,Bananas,5312,ha,793118.0
505344,South-eastern Asia,1974-01-01,"Beans, dry",5312,ha,1040900.0
505351,South-eastern Asia,1974-01-01,"Broad beans and horse beans, green",5312,ha,40.0
505356,South-eastern Asia,1974-01-01,Cabbages,5312,ha,49720.0
505359,South-eastern Asia,1974-01-01,Canary seed,5312,ha,2000.0
505611,South-eastern Asia,1975-01-01,"Abaca, manila hemp, raw",5312,ha,179877.0
505614,South-eastern Asia,1975-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2470.0
505617,South-eastern Asia,1975-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
505620,South-eastern Asia,1975-01-01,Areca nuts,5312,ha,108300.0
505624,South-eastern Asia,1975-01-01,Avocados,5312,ha,12710.0
505627,South-eastern Asia,1975-01-01,Bananas,5312,ha,763370.0
505630,South-eastern Asia,1975-01-01,"Beans, dry",5312,ha,947520.0
505637,South-eastern Asia,1975-01-01,"Broad beans and horse beans, green",5312,ha,40.0
505642,South-eastern Asia,1975-01-01,Cabbages,5312,ha,58350.0
505645,South-eastern Asia,1975-01-01,Canary seed,5312,ha,2000.0
505897,South-eastern Asia,1976-01-01,"Abaca, manila hemp, raw",5312,ha,244068.0
505900,South-eastern Asia,1976-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2438.0
505903,South-eastern Asia,1976-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,700.0
505906,South-eastern Asia,1976-01-01,Areca nuts,5312,ha,108100.0
505910,South-eastern Asia,1976-01-01,Avocados,5312,ha,15590.0
505913,South-eastern Asia,1976-01-01,Bananas,5312,ha,692709.0
505916,South-eastern Asia,1976-01-01,"Beans, dry",5312,ha,907990.0
505923,South-eastern Asia,1976-01-01,"Broad beans and horse beans, green",5312,ha,40.0
505928,South-eastern Asia,1976-01-01,Cabbages,5312,ha,54410.0
505931,South-eastern Asia,1976-01-01,Canary seed,5312,ha,3000.0
506183,South-eastern Asia,1977-01-01,"Abaca, manila hemp, raw",5312,ha,250517.0
